"Repository","Title","Call No.","Language(s)","Date","CompuDate","Place","Keywords","Front Cover","OPenn Record","Data","Page Turning","Penn in Hand Record","Summary","Collation View","Online","Month Photographed"
"Lehigh","Book of Hours of Paris use","16","Latin","15th c.","","France","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Book of Hours of the Roman use","17","Latin","15th c.","","France","","","","","","","","","Online? No","Photographed: December 2017"
"Lehigh","Book of Hours of the Roman use","18","Latin","15th c.","","Flanders","","","","","","","","","Online? No","Photographed: December 2017"
"Lehigh","Anon. Writings on philosophy","19","Latin","12th c.","","France","","","","","","","","","Online? No","Photographed: "
"Lehigh","Book of Hours of the Roman use","19","Latin","15th c.","","France","","","","","","","","","Online? No","Photographed: November 2017"
"Lehigh","Book of Hours of the Roman use","20","Latin","15th c.","","France","","","","","","","","","Online? No","Photographed: November 2017"
"Lehigh","Doge Lionardo Loredano. Dogale","21","Latin","16th c.","","Italy","","","","","","","","","Online? No","Photographed: November 2017"
"Lehigh","Gradual","23","Latin","15th c.","","Italy","","","","","","","","","Online? No","Photographed: December 2017"
"Lehigh","Antiphon","24","Latin","15th c.","","Italy","","","","","","","","","Online? No","Photographed: December 2017"
"Lehigh","Antiphon","25","Latin","15th c.","","Italy","","","","","","","","","Online? No","Photographed: December 2017"
"Lehigh","Collection of pages from a gradual/antiphon","","Latin","16th c.","","Spain","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Portolan Chart (second one - in a frame)","","Latin","unknown","","unknown","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Arnald of Brussels, compiler. Akhemical writings","10","Latin, Italian, Catalan","15th c.","","Naples","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Anon. The Brut","7","Middle English","15th c.","","England","","","","","","","","","Online? No","Photographed: not yet photographed"
"Lehigh","Spanish Laws (misidentified)","22","Spanish","1583","","Spain","","","","","","","","","Online? No","Photographed: November 2017"
"Library Company","Zonaras, Lexicon in Greek","2","Greek","14th c.","","not noted","","","","","","","","","Online? No","Photographed: July 2017"
"Library Company","Palladius: Historia Lausiaca, etc.","3","Greek","14th c.","","not noted","","","","","","","","","Online? No","Photographed: July 2017"
"Library Company","Psalterium","4","Latin","ca. 1530","","Germany","","","","","","","","","Online? No","Photographed: July 2017"
"Library Company","Horae","5","Latin","ca. 1480","","northern France","","","","","","","","","Online? No","Photographed: July 2017"
"Library Company","Psalterium, with the commentary of Nicolaus de Lyra","6","Latin","early 15th c.","","France","","","","","","","","","Online? No","Photographed: July 2017"
"Library Company","Antiphonarium","7","Latin","15th c.","","Italy","","","","","","","","","Online? No","Photographed: July 2017"
"Library Company","Biblia","9","Latin","13th c.","","England","","","","","","","","","Online? No","Photographed: July 2017"
"Library Company","Horae","12","Latin","15th c.","","France","","","","","","","","","Online? No","Photographed: August 2017"
"Library Company","Horae, fragment","15","Latin","ca. 1500","","Northern France","","","","","","","","","Online? No","Photographed: August 2017"
"Library Company","Traictie des vii fruis de tribulacion fait par ung …","18","Latin","15th c.","","France","","","","","","","","","Online? No","Photographed: August 2017"
"Library Company","Antiphonarium","19","Latin","ca. 1500","","Spain","","","","","","","","","Online? No","Photographed: August 2017"
"Library Company","Jacobus de Voragine: Sermones etc.","20","Latin","15th c.","","Germany","","","","","","","","","Online? No","Photographed: August 2017"
"Library Company","Graduale, incomplete","21","Latin","15th c.","","Italy","","","","","","","","","Online? No","Photographed: August 2017"
"Library Company","Jacobus de Cessolis: De ludo scacchorum, incomplete","22","Latin","15th c.","","Italy","","","","","","","","","Online? No","Photographed: August 2017"
"Philadelphia Museum of Art","Horae ‑ Book of Hours","1882‑983","not noted","c. 1480","","Dutch","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Illuminated Choral Manuscript","1883‑53","not noted","c. 1300","","Italian","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Ximinéz de Caniçares, Alonzo Pero: al muestro justicia mayorea alos del nuestro consejo presidente","1923‑17‑1","not noted","1575","","Spanish","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Book of Hours with Calendar","1924‑19‑1","not noted","probably 1460‑1480","","French","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Antiphonarium","1933‑36‑1","not noted","15th century","","Italian","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","La Cité de Dieu (The City of God)","1945‑65‑1","not noted","1408‑1410","","French","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Horae Beatae Virginis ad Usum Carnutum","1945‑65‑10","not noted","c. 1450? or c. 1470?","","French","","","","","","","","","Online? No","Photographed: January 2018"
"Philadelphia Museum of Art","Horae Beatae Virginis ad Usum Romanum","1945‑65‑11","not noted","c. 1450","","French","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Book of Hours for Paris Use","1945‑65‑12","not noted","c. 1420","","French","","","","","","","","","Online? No","Photographed: January 2018"
"Philadelphia Museum of Art","Book of Hours with Calendar, for Rome Use","1945‑65‑13","not noted","c. 1495","","French","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Book of Hours (The Champion‑Minard Hours) open to pages showing Christ's Body Lain Out following His Crucifixion","1945‑65‑14","not noted","1518","","French","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Book of Hours with Calendar (Victorines‑d'Auxy Hours) for Rome Use","1945‑65‑15","not noted","c. 1475‑1480","","French","","","","","","","","","Online? No","Photographed: January 2018"
"Philadelphia Museum of Art","Book of Hours for Rome Use","1945‑65‑16","not noted","c. 1460","","Flemish","","","","","","","","","Online? No","Photographed: January 2018"
"Philadelphia Museum of Art","Book of Hours (The Atalaya Hours) open to a page showing Saint Veronica Holding the Holy Veil","1945‑65‑17","not noted","Mid‑ 15th century","","Spanish","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Ordre du Saint Espirit","1945‑65‑19","not noted","c. 1585","","French","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Book of Hours for Sarum Use and Gallican Psalter with Canticles (Pembroke Hours)","1945‑65‑2","not noted","c. 1465‑1470, with additions c. 1550‑1565","","Netherlandish","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Service Book","1945‑65‑20","not noted","16th century","","Armenian","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Roman de la Rose","1945‑65‑3","not noted","c. 1440‑1480","","French","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Book of Hours for Roman Use (Collins Hours)","1945‑65‑4","not noted","c. 1445‑1450","","French","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Book of Hours open to a page showing the Crucifixion","1945‑65‑5","not noted","c. 1410","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Book of Hours for Sarum Use (Mostyn Hours)","1945‑65‑6","not noted","c. 1470","","British","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Gradual (Choir Book)","1945‑65‑7","not noted","c. 1350","","French","","","","","","","","","Online? No","Photographed: January 2018"
"Philadelphia Museum of Art","Book of Hours for Rome Use","1945‑65‑8","not noted","c. 1450","","French","","","","","","","","","Online? No","Photographed: January 2018"
"Philadelphia Museum of Art","Book of Hours (The Susanna Hours) open to a page showing Saint Francis Receiving the Stigmata","1945‑65‑9","not noted","c. 1510‑1520","","French","","","","","","","","","Online? No","Photographed: January 2018"
"Philadelphia Museum of Art","Book of Hours with Calendar for Chartres, France, Use","1949‑83‑1","not noted","Late 15th century","","French","","","","","","","","","Online? No","Photographed: January 2018"
"Philadelphia Museum of Art","Service Book","1953‑128‑7","not noted","c. 1500","","Armenian","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Horae Beatae Virginis","1967‑30‑120","not noted","1503?","","French?","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Horae Baetae Virginis ad Usum Romanum","1967‑30‑121","not noted","c. 1475","","French","","","","","","","","","Online? No","Photographed: not yet photographed"
"Philadelphia Museum of Art","Book of Hours","1967‑30‑122","not noted","c. 1450","","French","","","","","","","","","Online? No","Photographed: January 2018"
"Philadelphia Museum of Art","Book of Hours, Roman Use","1974‑179‑614","not noted","1502","","French","","","","","","","","","Online? No","Photographed: January 2018"
"Rosenbach","L'Outre d'Amour : ms.. 1401-1500. in case.","MS 443/21","French","1401-1500","","not noted","","","","","","","","","Online? No","Photographed: April 2017"
"Rosenbach","La Pelerinage de la Vie Humaine: ms., [ca. 1437].","MS 241/2","French","ca. 1437","","not noted","","","","","","","","","Online? No","Photographed: May 2017"
"Rosenbach","Anthalogium (Greek). 1500.","MS 240/4","Greek?","1500","","not noted","","","","","","","","","Online? No","Photographed: not yet photographed"
"Rosenbach","In Christi Nomine. Ms. 1596.","MS 272/17","Latin","1596","","not noted","","","","","","","","","Online? No","Photographed: April 2017"
"Rosenbach","Ms. Epistolae cum glora ordinaria Walafridi. 1101-1200.","MS 484/13","Latin","1101-1200","","not noted","","","","","","","","","Online? No","Photographed: April 2017"
"Rosenbach","Ms. Comentariorum in Porphyrium libri quinque, etc. 1101-1300.","MS 484/15","Latin","1101-1300","","not noted","","","","","","","","","Online? No","Photographed: April 2017"
"Rosenbach","Ms. Compendium logicae. Italy 1401-1500.","MS 484/20","Latin","1401-1500","","not noted","","","","","","","","","Online? No","Photographed: April 2017"
